,GCA_000157875.1_ASM15787v1_genomic,GCA_000158995.1_ASM15899v1_genomic,GCA_000163135.1_ASM16313v1_genomic,GCA_000370925.1_Bruc_sp_56_94_V1_genomic,GCA_000370945.1_Bruc_sp_63_311_V1_genomic,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic,GCA_000691585.1_ASM69158v1_genomic,GCA_000740135.1_ASM74013v1_genomic,GCA_000740155.1_ASM74015v1_genomic,GCA_000740235.1_ASM74023v1_genomic,GCA_000740275.1_ASM74027v1_genomic,GCA_001307475.2_ASM130747v2_genomic,GCA_001715385.1_ASM171538v1_genomic,GCA_001742815.1_ASM174281v1_genomic,GCA_001971625.1_ASM197162v1_genomic,GCA_001971805.1_ASM197180v1_genomic,GCA_009601725.1_ASM960172v1_genomic,GCA_014084005.1_ASM1408400v1_genomic,GCA_014495905.1_ASM1449590v1_genomic,GCA_015832115.1_ASM1583211v1_genomic,GCA_900000005.1_BVF60_genomic,GCA_900092405.1_10RB9215v1_genomic,GCA_900095155.1_BR141012304v1_genomic
GCA_000157875.1_ASM15787v1_genomic,0.0,1.0166061119949126,1.0168607696897376,1.0346989433066751,1.0115391647030456,1.0322354546482524,1.0606926922058086,1.0132593802896777,1.065095619613429,1.0283908243037487,1.0203850231367348,1.0059285660809902,1.0077450594739485,1.0184226766900695,1.0141117877966934,1.0102187229225028,1.0511256138841336,1.0151666141655227,1.0183342876207453,1.0175243903608862,0.9754350971152288,0.9552772999607161,1.0133579669408592,0.9925695446478465,1.0225340647942358,0.9609520884369859,1.1193233581391393,1.0132895024755093,1.0039857057800685
GCA_000158995.1_ASM15899v1_genomic,1.0166061119949126,0.0,0.4601270715066014,0.4829286119188901,0.3616765933738807,0.427014361587441,0.5655927877430684,0.3822790580406004,0.5702350634444833,0.40837144582129836,0.36458241032555083,0.36142749701839366,0.37072916890744223,0.45425740661144914,0.4404518856488935,0.41515342327288396,0.5536361553419886,0.4209194075982722,0.4531605723102467,1.098215781924853,1.066242190099658,1.032980694407245,1.0986606678285518,1.0793837485369988,1.0963051421701049,1.0620113155324442,1.160202478256253,1.0832710265270749,1.0809156667302289
GCA_000163135.1_ASM16313v1_genomic,1.0168607696897376,0.4601270715066014,0.0,0.410891228217997,0.41039501189448435,0.4275170089304358,0.48378394547841724,0.4084936874700934,0.46392065200308497,0.41973773393656183,0.4359701886343529,0.4011808451735215,0.40038618780773066,0.47148113745748443,0.47249203412129387,0.3950269624518946,0.4824301239639324,0.4364895016345822,0.4732403201886004,1.0965423595632167,1.0674509527733353,1.0080896564915498,1.0996772360937326,1.0795556471366121,1.0812995496544013,1.0640149637326086,1.1180605456431056,1.080516030882541,1.0785831718015115
GCA_000370925.1_Bruc_sp_56_94_V1_genomic,1.0346989433066751,0.4829286119188901,0.410891228217997,0.0,0.4334252398544141,0.3369552114045098,0.2736575449205244,0.31090896480862634,0.24619708853393057,0.3409729713105835,0.3366444880593499,0.43262182934563553,0.42212552814334714,0.4574597697982128,0.464508051764355,0.338560424254276,0.22901803595904488,0.41338065358445475,0.4575058094575619,1.1031937237597405,1.0765021582091192,0.9899389901179845,1.111902679838869,1.0895079373094658,1.0633054277148444,1.074883556749793,1.094042868727653,1.0909406903997372,1.0880110989516893
GCA_000370945.1_Bruc_sp_63_311_V1_genomic,1.0115391647030456,0.3616765933738807,0.41039501189448435,0.4334252398544141,0.0,0.4055339982387955,0.48793790859813657,0.32107398561758105,0.5212004483262643,0.39225911089923193,0.33449462777263506,0.3331922475400735,0.3318059347853515,0.37345301075579485,0.3712321414436712,0.3111946804529454,0.48041478539254023,0.3444902506665117,0.371760316307035,1.0912327606841854,1.0606412401839396,1.0102037943557745,1.0930409358994388,1.0725795817936867,1.0783704368576188,1.0569092649122396,1.1350765864398635,1.0722058280227291,1.074970029568373
GCA_000370965.1_Bruc_sp_F23_97_V1_genomic,1.0322354546482524,0.427014361587441,0.4275170089304358,0.3369552114045098,0.4055339982387955,0.0,0.4044736036329385,0.2838991064635325,0.3316839711635719,0.08085011468891173,0.30196665611792295,0.4115677317986774,0.41011696245855495,0.4750040795351986,0.4738413612386605,0.40800769522804337,0.4288634696290742,0.4383531359543324,0.4753127634910068,1.1070516663805612,1.078539113411207,1.02083600049496,1.108439612191208,1.0908760643443955,1.0805863678896863,1.0740335168327113,1.1326577461394116,1.0939870772739653,1.0910790734177311
GCA_000370985.1_Bruc_sp_F5_06_V1_genomic,1.0606926922058086,0.5655927877430684,0.48378394547841724,0.2736575449205244,0.48793790859813657,0.4044736036329385,0.0,0.4058487288743823,0.27828538896604016,0.4174732299816519,0.4182176017517712,0.5125753873239842,0.5014473246045132,0.5276491968050562,0.5349013683442412,0.41601192957117045,0.25342224016504683,0.487677969704934,0.5268003050938415,1.121936507438137,1.097309099877416,1.005400721662333,1.129442908633117,1.109814065909425,1.0688310425896617,1.0971354095075874,1.1003788695929313,1.1105163638593007,1.107453343202196
GCA_000371005.1_Bruc_sp_F8_99_V1_genomic,1.0132593802896777,0.3822790580406004,0.4084936874700934,0.31090896480862634,0.32107398561758105,0.2838991064635325,0.4058487288743823,0.0,0.43125088653693616,0.27274085599441344,0.16474199963197367,0.35695152031149974,0.3590592227507397,0.372037008701529,0.36747274944900754,0.29861543947438185,0.3581146269069551,0.3273298896673786,0.3733015934686505,1.091972493431719,1.0625043658398277,1.009580716094076,1.0967151649897007,1.076093496184253,1.074988333622371,1.0576336799329882,1.1299119453497792,1.0760262059698382,1.0757805465686299
GCA_000371025.1_Bruc_sp_F96_2_V1_genomic,1.065095619613429,0.5702350634444833,0.46392065200308497,0.24619708853393057,0.5212004483262643,0.3316839711635719,0.27828538896604016,0.43125088653693616,0.0,0.3474594906252047,0.44186639883271445,0.5297930472777737,0.5179563218628864,0.5641952435000344,0.5738413515881349,0.45443410340817575,0.2953765261794591,0.527897028800984,0.5632557190214248,1.1261050324393658,1.1018999050620049,1.0111787708877504,1.1334061055923812,1.113135221229011,1.0730057320880733,1.1008682737992428,1.0940687958332802,1.1160980869654316,1.1118806101354646
GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic,1.0283908243037487,0.40837144582129836,0.41973773393656183,0.3409729713105835,0.39225911089923193,0.08085011468891173,0.4174732299816519,0.27274085599441344,0.3474594906252047,0.0,0.29360583296118603,0.3965458641122167,0.3982257948318593,0.4662061180177996,0.463878158516597,0.3999429409439846,0.44125454642048945,0.42878001074763583,0.4670588381225234,1.1049394843595124,1.0753320965900217,1.021994874141802,1.1061196221636016,1.088617835239433,1.0836395561031904,1.0708853315609956,1.1358952664572786,1.0910695102988086,1.088855035209103
